	estadual	municipal
0	Total	Total
1	1 Cereais, leguminosas e oleaginosas	Abacate
2	1.1 Algodão herbáceo	Abacaxi
3	1.2 Amendoim (1ª Safra)	Açaí
4	1.3 Amendoim (2ª Safra)	Alfafa fenada
5	1.4 Arroz	Algodão arbóreo (em caroço)
6	1.5 Aveia	Algodão herbáceo (em caroço)
7	1.6 Centeio	Alho
8	1.7 Cevada	Amendoim (em casca)
9	1.8 Feijão (1ª Safra)	Arroz (em casca)
10	1.9 Feijão (2ª Safra)	Aveia (em grão)
11	1.10 Feijão (3ª Safra)	Azeitona
12	1.11 Girassol	Banana (cacho)
13	1.12 Mamona	Batata-doce
14	1.13 Milho (1ª Safra)	Batata-inglesa
15	1.14 Milho (2ª Safra)	Borracha (látex coagulado)
16	1.15 Soja	Borracha (látex líquido)
17	1.16 Sorgo	Cacau (em amêndoa)
18	1.17 Trigo	Café (em grão) Total
19	1.18 Triticale	Café (em grão) Arábica
20	2 Abacaxi	Café (em grão) Canephora
21	3 Alho	Caju
22	4 Banana	Cana-de-açúcar
23	5 Batata - inglesa (1ª Safra)	Cana para forragem
24	6 Batata - inglesa (2ª Safra)	Caqui
25	7 Batata - inglesa (3ª Safra)	Castanha de caju
26	8 Cacau	Cebola
27	9/10 Café total	Centeio (em grão)
28	9 Café arábica	Cevada (em grão)
29	10 Café canephora	Chá-da-índia (folha verde)
30	11 Cana-de-açúcar	Coco-da-baía
31	12 Castanha-de-caju	Dendê (cacho de coco)
32	13 Cebola	Erva-mate (folha verde)
33	14 Coco-da-baía	Ervilha (em grão)
34	15 Fumo	Fava (em grão)
35	16 Guaraná	Feijão (em grão)
36	17 Juta	Figo
37	18 Laranja	Fumo (em folha)
38	19 Maçã	Girassol (em grão)
39	20 Malva	Goiaba
40	21 Mandioca	Guaraná (semente)
41	22 Pimenta-do-reino	Juta (fibra)
42	23 Sisal ou agave	Laranja
43	24 Tomate	Limão
44	25 Uva	Linho (semente)
45		Maçã
46		Malva (fibra)
47		Mamão
48		Mamona (baga)
49		Mandioca
50		Manga
51		Maracujá
52		Marmelo
53		Melancia
54		Melão
55		Milho (em grão)
56		Noz (fruto seco)
57		Palmito
58		Pera
59		Pêssego
60		Pimenta-do-reino
61		Rami (fibra)
62		Sisal ou agave (fibra)
63		Soja (em grão)
64		Sorgo (em grão)
65		Tangerina
66		Tomate
67		Trigo (em grão)
68		Triticale (em grão)
69		Tungue (fruto seco)
70		Urucum (semente)
71		Uva
